user_id,anime_id,rating
1,20,-1
3,20,8
5,20,6
6,20,-1
10,20,-1
21,20,8
28,20,9
34,20,9
38,20,6
39,20,10
41,20,10
43,20,8
46,20,7
50,20,10
53,20,6
54,20,-1
60,20,9
61,20,7
62,20,7
72,20,8
79,20,9
80,20,9
88,20,9
90,20,-1
95,20,7
96,20,10
97,20,6
99,20,5
101,20,10
104,20,9
108,20,6
112,20,10
116,20,10
118,20,7
124,20,7
125,20,4
128,20,8
129,20,9
130,20,10
132,20,9
133,20,-1
140,20,7
145,20,-1
148,20,8
153,20,6
159,20,7
163,20,9
164,20,9
166,20,6
171,20,10
173,20,10
177,20,9
179,20,6
185,20,7
187,20,6
188,20,-1
189,20,8
190,20,9
191,20,7
195,20,7
196,20,7
198,20,-1
199,20,9
201,20,-1
202,20,6
209,20,9
210,20,10
214,20,7
218,20,-1
219,20,9
220,20,10
226,20,7
232,20,-1
234,20,5
235,20,8
236,20,7
241,20,8
246,20,9
248,20,9
249,20,8
250,20,7
252,20,8
253,20,6
258,20,9
260,20,9
261,20,7
263,20,7
268,20,8
269,20,7
270,20,-1
271,20,1
272,20,8
273,20,5
275,20,9
279,20,7
281,20,8
282,20,9
284,20,7
285,20,-1
288,20,8
290,20,9
293,20,8
294,20,10
296,20,10
297,20,10
298,20,9
310,20,-1
311,20,10
312,20,9
316,20,9
317,20,9
322,20,9
325,20,8
329,20,7
332,20,5
334,20,7
336,20,7
339,20,8
340,20,6
342,20,9
343,20,8
345,20,9
349,20,9
352,20,7
354,20,8
357,20,8
359,20,8
363,20,7
364,20,-1
365,20,10
368,20,8
375,20,-1
376,20,10
379,20,9
381,20,-1
382,20,5
385,20,10
386,20,7
387,20,7
389,20,10
390,20,6
392,20,7
394,20,-1
395,20,7
398,20,-1
400,20,8
401,20,9
404,20,7
405,20,7
407,20,-1
416,20,8
417,20,3
418,20,10
419,20,8
421,20,10
426,20,8
427,20,8
431,20,-1
432,20,6
434,20,7
435,20,8
443,20,-1
445,20,7
447,20,-1
451,20,10
458,20,7
460,20,8
463,20,9
469,20,9
471,20,6
478,20,9
479,20,7
480,20,-1
485,20,9
489,20,6
492,20,5
494,20,7
495,20,7
497,20,7
501,20,8
504,20,-1
511,20,7
519,20,7
520,20,8
521,20,10
522,20,9
523,20,-1
525,20,7
528,20,6
529,20,8
1,24,-1
5,24,1
55,24,8
102,24,8
105,24,9
107,24,8
120,24,7
160,24,9
183,24,7
186,24,8
248,24,8
270,24,-1
285,24,-1
290,24,9
294,24,8
296,24,9
317,24,8
320,24,9
349,24,8
390,24,8
400,24,8
419,24,10
438,24,7
451,24,10
455,24,10
463,24,8
475,24,7
495,24,8
508,24,10
517,24,7
1,79,-1
54,79,-1
90,79,-1
102,79,7
125,79,4
160,79,7
210,79,7
232,79,-1
248,79,6
249,79,5
256,79,9
261,79,8
279,79,7
282,79,9
285,79,-1
286,79,6
289,79,-1
320,79,8
321,79,4
340,79,9
342,79,-1
345,79,7
372,79,-1
379,79,6
383,79,8
404,79,7
407,79,-1
418,79,8
431,79,-1
446,79,9
461,79,7
495,79,8
507,79,3
511,79,8
514,79,10
1,226,-1
4,226,-1
16,226,-1
17,226,7
21,226,8
24,226,7
28,226,9
29,226,4
30,226,10
35,226,-1
37,226,6
38,226,9
39,226,8
40,226,9
50,226,7
51,226,6
55,226,7
61,226,8
75,226,9
79,226,9
80,226,10
81,226,5
88,226,10
89,226,-1
90,226,-1
94,226,8
97,226,7
99,226,4
102,226,6
104,226,10
107,226,9
108,226,7
109,226,8
111,226,3
112,226,9
116,226,6
118,226,8
120,226,10
122,226,8
125,226,7
129,226,9
132,226,9
139,226,4
152,226,6
155,226,9
158,226,9
160,226,9
168,226,9
169,226,9
173,226,10
178,226,9
179,226,-1
181,226,10
182,226,-1
185,226,8
186,226,8
187,226,7
189,226,10
190,226,8
198,226,-1
200,226,8
202,226,6
209,226,9
210,226,9
213,226,10
214,226,5
215,226,9
216,226,7
218,226,-1
219,226,9
224,226,8
225,226,9
226,226,8
228,226,9
236,226,10
237,226,-1
242,226,10
244,226,10
245,226,10
248,226,9
249,226,6
250,226,4
252,226,8
253,226,10
256,226,8
258,226,7
261,226,10
262,226,7
264,226,8
266,226,-1
268,226,8
269,226,7
270,226,-1
271,226,10
273,226,5
277,226,9
279,226,9
280,226,10
281,226,7
282,226,10
284,226,6
286,226,8
287,226,10
288,226,10
289,226,-1
290,226,6
292,226,8
293,226,8
294,226,7
296,226,6
298,226,8
300,226,9
303,226,10
306,226,7
